809	301	4
2987	301	5
2158	301	6
223	301	6
942	301	7
204	301	10
3759	301	14
2408	301	15
2679	302	7
1324	302	8
2336	302	10
101	302	11
1379	302	14
2433	302	16
3205	302	19
3315	303	6
2876	303	6
2261	303	7
1685	303	7
2817	303	9
1558	303	15
2784	303	19
485	303	24
3430	304	4
1458	304	4
3143	304	5
2188	304	6
2802	304	7
1248	304	10
716	304	11
1372	304	11
1915	305	5
2957	305	5
1292	305	7
2249	305	9
2210	305	9
3710	305	10
2021	305	12
3644	305	12
515	305	12
1250	305	14
2706	305	17
2149	305	20
977	306	4
1698	306	7
1547	306	9
155	306	11
1752	306	13
2702	306	14
1304	306	14
1533	306	17
2010	307	4
3614	307	5
2948	307	5
2847	307	10
337	307	12
1980	307	13
3148	308	5
1114	308	5
456	308	6
1707	308	11
1299	308	12
1355	308	13
3657	308	14
2839	308	14
445	308	16
3513	309	4
1538	309	5
2655	309	5
3059	309	5
2669	309	5
3063	309	5
2907	309	5
2447	309	5
1039	309	6
110	309	10
997	309	10
2437	309	12
2392	309	13
3039	309	22
2659	310	4
1436	310	5
3256	310	5
343	310	7
70	310	8
3120	310	9
1010	310	11
2676	310	11
2421	310	11
3652	310	11
2360	310	12
590	311	5
3167	311	6
3560	311	7
699	311	9
1027	311	10
3432	311	10
637	312	4
2578	312	5
226	312	5
2845	312	5
578	312	8
2403	312	9
1381	312	9
1694	312	10
151	312	12
1337	312	12
1794	312	13
3603	312	15
1246	313	4
1553	313	4
827	313	5
3817	313	6
1314	313	6
321	313	9
2311	313	10
1923	313	11
2811	313	13
1958	313	13
3021	313	16
2979	314	4
1770	314	5
1442	314	5
653	314	5
544	314	6
3431	314	7
2952	314	9
567	314	10
2914	314	11
3682	314	13
1777	314	14
959	315	6
2969	315	10
2597	315	11
2606	315	14
2285	315	16
1589	316	4
3386	316	5
2660	316	5
2675	316	5
3165	316	5
2822	316	7
1128	316	10
2841	316	10
1810	316	11
1826	317	4
3013	317	4
3696	317	4
3417	317	5
2483	317	7
1902	317	8
1291	317	9
1350	317	12
1956	317	14
1866	317	14
3028	318	4
2758	318	4
2634	318	4
2071	318	4
3147	318	5
3332	318	5
504	318	5
2018	318	5
1378	318	7
3481	318	8
3721	318	27
3805	319	4
2172	319	5
898	319	6
491	319	10
1105	319	11
1347	319	13
3338	319	19
400	320	4
556	320	6
413	320	9
1885	320	14
746	320	14
3171	321	4
576	321	4
1516	321	4
1936	321	4
710	321	5
3573	321	5
2397	321	6
2911	321	7
2138	321	10
1841	321	15
2771	321	18
3473	322	7
3757	322	9
1989	322	10
414	322	14
3365	323	5
3363	323	5
3398	323	5
732	323	5
1806	323	7
2646	323	7
469	323	8
1999	323	8
2826	323	8
1055	324	4
3178	324	4
3182	324	5
2783	324	8
1988	324	10
394	324	11
1329	324	12
2683	324	13
1830	324	14
3434	324	15
444	325	4
3125	325	5
858	325	5
711	325	5
2552	325	7
2309	325	9
656	325	9
1684	325	10
3295	325	10
1876	325	10
1981	325	11
3389	325	11
85	325	12
1818	325	14
2186	325	14
454	325	24
480	325	25
1212	326	4
602	326	4
2586	326	4
3667	326	4
2912	326	4
1414	326	5
552	326	5
1814	326	10
1127	326	13
3633	326	25
3162	327	4
55	327	5
3406	327	5
3342	327	6
723	327	6
528	327	7
3229	327	7
3214	327	8
1416	327	8
517	327	10
1453	327	13
3106	328	5
3318	328	5
580	328	5
2767	328	6
3537	328	6
1919	328	7
1647	328	9
1211	328	10
13	328	13
2701	328	13
2696	328	13
2148	328	14
726	328	22
2522	328	25
1847	329	4
2592	329	4
2638	329	4
3742	329	4
2024	329	4
2929	329	5
3711	329	5
2093	329	6
2260	329	6
1960	329	8
1052	329	9
2344	329	10
194	329	11
1297	329	14
3779	329	20
3479	329	28
1869	330	4
527	330	4
1290	330	5
1599	330	5
2375	330	7
1603	330	9
834	330	10
162	330	11
1680	330	11
1288	330	12
2594	330	13
3554	331	4
3425	331	4
3687	331	4
3132	331	5
1626	331	5
2978	331	5
1226	331	6
1035	331	7
3218	331	8
197	331	11
1346	331	14
1721	331	14
3234	331	18
593	331	20
1870	332	4
3748	332	4
3053	332	4
3620	332	5
3449	332	5
3265	332	5
1227	332	5
322	332	6
193	332	8
2717	332	9
1294	332	9
2540	332	10
1996	332	10
1419	332	11
3223	332	12
149	332	17
1907	333	4
871	333	4
1474	333	4
1807	333	5
1532	333	5
166	333	6
2126	333	6
3303	333	6
1328	333	9
2166	333	10
263	333	11
2494	333	12
3394	333	17
564	334	4
1262	334	4
1470	334	6
69	334	7
214	334	7
1862	334	7
173	334	7
2053	334	7
1651	334	9
342	334	9
3450	334	9
2763	334	9
1506	334	10
3056	334	11
2139	334	12
3192	334	13
